source_module,target_module,source_path,target_path
mediapipeline.core.config.metadata_parts.advanced_fields,mediapipeline.core.rename.constants,src/mediapipeline/core/config/metadata_parts/advanced_fields.py,src/mediapipeline/core/rename/constants.py
mediapipeline.core.config.metadata_parts.advanced_fields,mediapipeline.core.rename.movie,src/mediapipeline/core/config/metadata_parts/advanced_fields.py,src/mediapipeline/core/rename/movie.py
mediapipeline.core.config.metadata_parts.advanced_fields,mediapipeline.core.rename.tv,src/mediapipeline/core/config/metadata_parts/advanced_fields.py,src/mediapipeline/core/rename/tv.py
mediapipeline.core.config.metadata_parts.basic_fields,mediapipeline.core.config.metadata_parts.basic_media_policy,src/mediapipeline/core/config/metadata_parts/basic_fields.py,src/mediapipeline/core/config/metadata_parts/basic_media_policy.py
mediapipeline.core.config.metadata_parts.basic_fields,mediapipeline.core.config.metadata_parts.basic_paths,src/mediapipeline/core/config/metadata_parts/basic_fields.py,src/mediapipeline/core/config/metadata_parts/basic_paths.py
mediapipeline.core.config.metadata_parts.basic_fields,mediapipeline.core.config.metadata_parts.basic_processing,src/mediapipeline/core/config/metadata_parts/basic_fields.py,src/mediapipeline/core/config/metadata_parts/basic_processing.py
mediapipeline.core.config.metadata_parts.basic_media_policy,mediapipeline.core.config.metadata_choices,src/mediapipeline/core/config/metadata_parts/basic_media_policy.py,src/mediapipeline/core/config/metadata_choices.py
mediapipeline.core.config.metadata_parts.basic_media_policy,mediapipeline.core.config.metadata_parts.policy,src/mediapipeline/core/config/metadata_parts/basic_media_policy.py,src/mediapipeline/core/config/metadata_parts/policy.py
mediapipeline.core.config.metadata_parts.basic_media_policy,mediapipeline.core.config.metadata_support,src/mediapipeline/core/config/metadata_parts/basic_media_policy.py,src/mediapipeline/core/config/metadata_support.py
mediapipeline.core.config.metadata_parts.basic_processing,mediapipeline.core.config.metadata_parts.policy,src/mediapipeline/core/config/metadata_parts/basic_processing.py,src/mediapipeline/core/config/metadata_parts/policy.py
mediapipeline.core.config.metadata_parts.field_definitions,mediapipeline.core.config.metadata_parts.field_display,src/mediapipeline/core/config/metadata_parts/field_definitions.py,src/mediapipeline/core/config/metadata_parts/field_display.py
mediapipeline.core.config.metadata_parts.field_definitions,mediapipeline.core.config.metadata_parts.field_registry,src/mediapipeline/core/config/metadata_parts/field_definitions.py,src/mediapipeline/core/config/metadata_parts/field_registry.py
mediapipeline.core.config.metadata_parts.field_definitions,mediapipeline.core.config.metadata_parts.field_scope,src/mediapipeline/core/config/metadata_parts/field_definitions.py,src/mediapipeline/core/config/metadata_parts/field_scope.py
mediapipeline.core.config.metadata_parts.field_display,mediapipeline.core.config.metadata_parts.field_scope,src/mediapipeline/core/config/metadata_parts/field_display.py,src/mediapipeline/core/config/metadata_parts/field_scope.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.advanced_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/advanced_fields.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.basic_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/basic_fields.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.network_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/network_fields.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.queue_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/queue_fields.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.subtitle_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/subtitle_fields.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.video_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/video_fields.py
mediapipeline.core.config.metadata_parts.field_registry,mediapipeline.core.config.metadata_parts.watch_fields,src/mediapipeline/core/config/metadata_parts/field_registry.py,src/mediapipeline/core/config/metadata_parts/watch_fields.py
mediapipeline.core.config.metadata_parts.field_scope,mediapipeline.core.config.preset_compatibility,src/mediapipeline/core/config/metadata_parts/field_scope.py,src/mediapipeline/core/config/preset_compatibility.py
mediapipeline.core.config.metadata_parts.network_fields,mediapipeline.core.config.metadata_network,src/mediapipeline/core/config/metadata_parts/network_fields.py,src/mediapipeline/core/config/metadata_network.py
mediapipeline.core.config.metadata_parts.policy,mediapipeline.core.config.constants,src/mediapipeline/core/config/metadata_parts/policy.py,src/mediapipeline/core/config/constants.py
mediapipeline.core.config.metadata_parts.video_fields,mediapipeline.core.config.metadata_parts.policy,src/mediapipeline/core/config/metadata_parts/video_fields.py,src/mediapipeline/core/config/metadata_parts/policy.py
mediapipeline.core.config.metadata_parts.video_fields,mediapipeline.core.config.metadata_support,src/mediapipeline/core/config/metadata_parts/video_fields.py,src/mediapipeline/core/config/metadata_support.py
mediapipeline.core.config.numeric_policy,mediapipeline.contracts.height_tolerance,src/mediapipeline/core/config/numeric_policy.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.core.config.numeric_policy,mediapipeline.core.config.value_checks,src/mediapipeline/core/config/numeric_policy.py,src/mediapipeline/core/config/value_checks.py
mediapipeline.core.config.numeric_policy,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/numeric_policy.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.option_policy,mediapipeline.core.config.constants,src/mediapipeline/core/config/option_policy.py,src/mediapipeline/core/config/constants.py
mediapipeline.core.config.option_policy,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/option_policy.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.path_warnings,mediapipeline.core.config.value_checks,src/mediapipeline/core/config/path_warnings.py,src/mediapipeline/core/config/value_checks.py
mediapipeline.core.config.path_warnings,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/path_warnings.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.preset_compatibility,mediapipeline.contracts.config,src/mediapipeline/core/config/preset_compatibility.py,src/mediapipeline/contracts/config.py
